"Date :",04/02/24 16:22:28
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",120,0,3600
"tone 01"," 0:02:00.000",25,3600,750
"tone 02"," 0:02:42.000",25,4860,750
"tone 03"," 0:03:15.000",25,5850,750
"tone 04"," 0:04:02.000",25,7260,750
"tone 05"," 0:04:47.000",25,8610,750
"tone 06"," 0:05:29.000",25,9870,750
"tone 07"," 0:06:09.000",25,11070,750
"tone 08"," 0:06:54.000",25,12420,750
"tone 09"," 0:07:24.000",25,13320,750
"tone 10"," 0:08:08.000",25,14640,750
"tone 11"," 0:08:45.000",25,15750,750
"tone 12"," 0:09:15.000",25,16650,750
"post-tone"," 0:09:40.000",120,17400,3600

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","pre-tone",0,0.000,0.00,0.00,419.96,0,1565
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","tone 01",5,11.833,1.69,47.33,60.60,0,792
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","tone 02",4,9.033,1.29,36.13,164.75,0,1290
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","tone 03",4,10.333,1.48,41.33,97.31,0,804
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","tone 04",3,5.067,0.72,20.27,115.63,0,1087
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","tone 05",3,4.467,0.64,17.87,170.57,0,1558
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","tone 06",2,3.733,0.53,14.93,245.76,0,1552
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","tone 07",2,2.467,0.35,9.87,212.49,0,1239
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","tone 08",1,1.133,0.16,4.53,282.43,0,1744
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","tone 09",4,6.367,0.91,25.47,144.41,0,787
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","tone 10",4,17.333,2.48,69.33,30.29,0,345
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","tone 11",4,5.233,0.75,20.93,108.20,0,1168
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","tone 12",3,4.033,0.58,16.13,202.36,0,1321
"VF040224_E1","1",Chamber 1,"B6-F-178-01","PR_Y","post-tone",1,1.200,0.17,1.00,286.63,0,1773

"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","pre-tone",0,0.000,0.00,0.00,411.82,0,1926
"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","tone 01",6,17.800,2.54,71.20,37.59,0,594
"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","tone 02",7,17.733,2.53,70.93,34.78,0,699
"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","tone 03",3,8.900,1.27,35.60,164.05,0,1170
"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","tone 04",8,19.233,2.75,76.93,13.90,0,375
"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","tone 05",6,18.100,2.59,72.40,14.84,0,190
"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","tone 06",3,14.633,2.09,58.53,95.04,0,1227
"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","tone 07",4,16.467,2.35,65.87,27.00,0,353
"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","tone 08",0,0.000,0.00,0.00,333.45,0,1561
"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","tone 09",0,0.000,0.00,0.00,269.55,0,1374
"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","tone 10",5,14.733,2.10,58.93,44.42,0,512
"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","tone 11",5,9.167,1.31,36.67,132.57,0,1571
"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","tone 12",4,11.567,1.65,46.27,112.78,0,725
"VF040224_E1","1",Chamber 2,"B6-F-178-02","PR_Y","post-tone",36,89.800,12.83,74.83,12.93,0,509

"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","pre-tone",0,0.000,0.00,0.00,166.35,0,721
"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","tone 01",5,11.467,1.64,45.87,29.87,0,260
"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","tone 02",2,4.200,0.60,16.80,62.32,0,471
"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","tone 03",6,11.367,1.62,45.47,17.45,0,396
"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","tone 04",3,9.767,1.40,39.07,11.59,0,174
"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","tone 05",6,11.267,1.61,45.07,20.88,0,447
"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","tone 06",2,2.833,0.40,11.33,24.34,0,274
"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","tone 07",5,17.633,2.52,70.53,6.55,0,119
"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","tone 08",1,1.033,0.15,4.13,55.02,0,288
"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","tone 09",1,1.333,0.19,5.33,80.17,0,371
"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","tone 10",2,5.967,0.85,23.87,60.97,0,443
"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","tone 11",1,5.800,0.83,23.20,45.85,0,346
"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","tone 12",2,12.767,1.82,51.07,41.64,0,525
"VF040224_E1","1",Chamber 3,"B6-F-178-03","PR_Y","post-tone",13,27.500,3.93,22.92,60.76,0,575

"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","pre-tone",1,1.100,0.16,0.92,329.81,0,1786
"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","tone 01",5,19.633,2.80,78.53,15.56,0,290
"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","tone 02",5,18.400,2.63,73.60,13.97,0,271
"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","tone 03",5,9.033,1.29,36.13,65.39,0,788
"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","tone 04",4,20.333,2.90,81.33,10.35,0,415
"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","tone 05",4,7.800,1.11,31.20,58.30,0,634
"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","tone 06",7,12.367,1.77,49.47,36.86,0,501
"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","tone 07",4,7.733,1.10,30.93,69.07,0,908
"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","tone 08",4,8.633,1.23,34.53,94.39,0,925
"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","tone 09",2,3.733,0.53,14.93,156.09,0,719
"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","tone 10",3,3.967,0.57,15.87,195.85,0,1377
"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","tone 11",2,3.067,0.44,12.27,160.21,0,900
"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","tone 12",8,18.733,2.68,74.93,24.00,0,818
"VF040224_E1","1",Chamber 4,"B6-F-178-04","PR_Y","post-tone",7,11.667,1.67,9.72,201.74,0,1418

"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","pre-tone",0,0.000,0.00,0.00,366.36,0,1750
"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","tone 01",3,15.267,2.18,61.07,43.59,0,515
"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","tone 02",3,16.067,2.30,64.27,68.49,0,653
"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","tone 03",3,11.267,1.61,45.07,66.04,0,1123
"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","tone 04",3,8.367,1.20,33.47,191.07,0,1023
"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","tone 05",5,15.700,2.24,62.80,56.67,0,1124
"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","tone 06",6,11.967,1.71,47.87,119.33,0,828
"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","tone 07",4,10.467,1.50,41.87,104.25,0,803
"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","tone 08",3,5.467,0.78,21.87,165.17,0,910
"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","tone 09",2,5.800,0.83,23.20,160.48,0,1097
"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","tone 10",3,5.833,0.83,23.33,179.40,0,1034
"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","tone 11",1,1.633,0.23,6.53,253.95,0,1153
"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","tone 12",1,1.800,0.26,7.20,309.29,0,1490
"VF040224_E1","2",Chamber 1,"B6-M-190-01","CR_Y","post-tone",3,5.167,0.74,4.31,289.52,0,1606

"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","pre-tone",5,6.767,0.97,5.64,251.17,0,1589
"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","tone 01",2,23.733,3.39,94.93,10.61,0,1067
"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","tone 02",10,22.467,3.21,89.87,4.01,0,175
"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","tone 03",7,21.733,3.10,86.93,3.07,0,250
"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","tone 04",6,15.533,2.22,62.13,6.82,0,243
"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","tone 05",5,17.833,2.55,71.33,20.89,0,747
"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","tone 06",2,4.000,0.57,16.00,164.62,0,1437
"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","tone 07",3,4.700,0.67,18.80,167.87,0,1139
"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","tone 08",2,2.367,0.34,9.47,191.28,0,1046
"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","tone 09",5,8.400,1.20,33.60,290.44,0,1482
"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","tone 10",4,6.600,0.94,26.40,240.85,0,1274
"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","tone 11",2,2.500,0.36,10.00,362.02,0,3178
"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","tone 12",1,1.800,0.26,7.20,322.04,0,1342
"VF040224_E1","2",Chamber 2,"B6-M-190-02","CR_Y","post-tone",2,2.567,0.37,2.14,326.90,0,1671

"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","pre-tone",0,0.000,0.00,0.00,228.36,0,1469
"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","tone 01",4,13.567,1.94,54.27,38.61,0,435
"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","tone 02",4,10.433,1.49,41.73,111.94,0,820
"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","tone 03",5,12.700,1.81,50.80,55.76,0,637
"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","tone 04",6,12.633,1.80,50.53,45.72,0,584
"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","tone 05",2,4.367,0.62,17.47,225.05,0,803
"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","tone 06",6,16.933,2.42,67.73,43.92,0,479
"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","tone 07",3,7.700,1.10,30.80,62.23,0,943
"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","tone 08",5,14.500,2.07,58.00,48.29,0,552
"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","tone 09",2,4.433,0.63,17.73,105.80,0,598
"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","tone 10",3,5.633,0.80,22.53,87.54,0,698
"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","tone 11",4,6.600,0.94,26.40,127.07,0,821
"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","tone 12",2,6.233,0.89,24.93,142.80,0,924
"VF040224_E1","2",Chamber 3,"B6-M-190-03","CR_Y","post-tone",5,10.600,1.51,8.83,188.69,0,1292

"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","pre-tone",0,0.000,0.00,0.00,392.45,0,1775
"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","tone 01",3,19.667,2.81,78.67,38.32,0,658
"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","tone 02",5,19.400,2.77,77.60,53.00,0,1107
"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","tone 03",6,16.333,2.33,65.33,50.96,0,1325
"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","tone 04",5,17.800,2.54,71.20,36.75,0,496
"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","tone 05",3,11.267,1.61,45.07,55.16,0,613
"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","tone 06",3,12.700,1.81,50.80,49.69,0,528
"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","tone 07",5,11.900,1.70,47.60,154.87,0,1163
"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","tone 08",3,7.933,1.13,31.73,85.82,0,1180
"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","tone 09",3,4.333,0.62,17.33,134.08,0,1125
"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","tone 10",6,12.367,1.77,49.47,88.90,0,745
"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","tone 11",3,5.800,0.83,23.20,129.13,0,877
"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","tone 12",4,9.100,1.30,36.40,74.82,0,1032
"VF040224_E1","2",Chamber 4,"B6-M-190-04","CR_Y","post-tone",14,22.100,3.16,18.42,215.47,0,1557

"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","pre-tone",0,0.000,0.00,0.00,312.79,0,1495
"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","tone 01",4,19.567,2.80,78.27,27.00,0,527
"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","tone 02",6,17.533,2.50,70.13,44.13,0,619
"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","tone 03",1,24.500,3.50,98.00,3.44,0,491
"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","tone 04",6,21.233,3.03,84.93,20.25,0,654
"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","tone 05",4,23.267,3.32,93.07,4.37,0,242
"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","tone 06",4,17.033,2.43,68.13,20.28,0,888
"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","tone 07",4,10.333,1.48,41.33,68.26,0,689
"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","tone 08",2,13.933,1.99,55.73,38.73,0,763
"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","tone 09",3,7.600,1.09,30.40,35.57,0,474
"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","tone 10",5,19.300,2.76,77.20,15.57,0,293
"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","tone 11",4,11.300,1.61,45.20,68.73,0,1304
"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","tone 12",4,18.767,2.68,75.07,16.59,0,395
"VF040224_E1","3",Chamber 1,"B6-F-189-01","CR_N","post-tone",8,18.033,2.58,15.03,196.46,0,1378

"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","pre-tone",1,1.600,0.23,1.33,376.88,0,1731
"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","tone 01",2,6.667,0.95,26.67,78.94,0,996
"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","tone 02",4,20.800,2.97,83.20,11.68,0,346
"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","tone 03",3,19.900,2.84,79.60,9.11,0,244
"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","tone 04",3,21.367,3.05,85.47,5.58,0,188
"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","tone 05",2,17.267,2.47,69.07,5.73,0,510
"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","tone 06",3,19.100,2.73,76.40,6.92,0,191
"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","tone 07",3,19.467,2.78,77.87,20.13,0,542
"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","tone 08",4,19.833,2.83,79.33,4.63,0,439
"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","tone 09",3,11.500,1.64,46.00,7.05,0,149
"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","tone 10",2,11.667,1.67,46.67,48.95,0,541
"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","tone 11",2,20.500,2.93,82.00,6.42,0,245
"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","tone 12",0,0.000,0.00,0.00,162.75,0,1438
"VF040224_E1","3",Chamber 2,"B6-F-189-02","CR_N","post-tone",6,8.567,1.22,7.14,298.78,0,1742

"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","pre-tone",0,0.000,0.00,0.00,231.43,0,1159
"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","tone 01",3,21.467,3.07,85.87,7.59,0,208
"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","tone 02",5,21.367,3.05,85.47,7.09,0,213
"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","tone 03",4,24.167,3.45,96.67,1.72,0,112
"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","tone 04",8,15.167,2.17,60.67,21.54,0,406
"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","tone 05",5,20.133,2.88,80.53,5.04,0,178
"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","tone 06",8,18.200,2.60,72.80,8.01,0,158
"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","tone 07",6,11.133,1.59,44.53,50.15,0,607
"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","tone 08",9,21.700,3.10,86.80,2.95,0,70
"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","tone 09",9,21.533,3.08,86.13,2.68,0,65
"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","tone 10",8,13.333,1.90,53.33,19.04,0,293
"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","tone 11",3,3.833,0.55,15.33,118.45,0,650
"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","tone 12",3,5.267,0.75,21.07,102.86,0,844
"VF040224_E1","3",Chamber 3,"B6-F-189-03","CR_N","post-tone",9,13.533,1.93,11.28,115.33,0,1062

"VF040224_E1","3",Chamber 4,"B6-F-189-04","CR_N","pre-tone",1,1.300,0.19,1.08,348.65,0,1811
"VF040224_E1","3",Chamber 4,"B6-F-189-04","CR_N","tone 01",6,17.900,2.56,71.60,26.60,0,559
"VF040224_E1","3",Chamber 4,"B6-F-189-04","CR_N","tone 02",8,12.300,1.76,49.20,38.66,0,423
"VF040224_E1","3",Chamber 4,"B6-F-189-04","CR_N","tone 03",6,15.000,2.14,60.00,52.66,0,963
"VF040224_E1","3",Chamber 4,"B6-F-189-04","CR_N","tone 04",4,4.600,0.66,18.40,96.26,0,1228
"VF040224_E1","3",Chamber 4,"B6-F-189-04","CR_N","tone 05",2,2.400,0.34,9.60,138.90,0,997
"VF040224_E1","3",Chamber 4,"B6-F-189-04","CR_N","tone 06",5,13.600,1.94,54.40,42.20,0,409
"VF040224_E1","3",Chamber 4,"B6-F-189-04","CR_N","tone 07",3,8.700,1.24,34.80,115.27,0,739
