"Date :",05/20/22 13:02:00
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",120,0,3600
"tone 01"," 0:02:00.000",25,3600,750
"tone 02"," 0:03:15.000",25,5850,750
"tone 03"," 0:04:02.000",25,7260,750
"tone 04"," 0:04:47.000",25,8610,750
"post-tone"," 0:05:12.000",120,9360,3600

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF052022_SR","1",Chamber 1,"","","pre-tone",9,11.300,2.62,9.42,77.51,0,922
"VF052022_SR","1",Chamber 1,"","","tone 01",7,14.267,3.30,57.07,16.59,0,396
"VF052022_SR","1",Chamber 1,"","","tone 02",6,8.600,1.99,34.40,25.25,0,190
"VF052022_SR","1",Chamber 1,"","","tone 03",9,15.200,3.52,60.80,15.91,0,298
"VF052022_SR","1",Chamber 1,"","","tone 04",7,16.200,3.75,64.80,13.67,0,242
"VF052022_SR","1",Chamber 1,"","","post-tone",16,24.200,5.60,20.17,111.39,0,1376

"VF052022_SR","1",Chamber 2,"","","pre-tone",9,10.733,2.48,8.94,149.29,0,1361
"VF052022_SR","1",Chamber 2,"","","tone 01",6,17.433,4.04,69.73,32.83,0,737
"VF052022_SR","1",Chamber 2,"","","tone 02",4,10.300,2.38,41.20,80.35,0,838
"VF052022_SR","1",Chamber 2,"","","tone 03",4,5.033,1.17,20.13,73.15,0,869
"VF052022_SR","1",Chamber 2,"","","tone 04",3,13.467,3.12,53.87,16.11,0,400
"VF052022_SR","1",Chamber 2,"","","post-tone",22,32.533,7.53,27.11,147.65,0,1723

"VF052022_SR","1",Chamber 3,"","","pre-tone",18,24.333,5.63,20.28,67.07,0,1017
"VF052022_SR","1",Chamber 3,"","","tone 01",8,11.167,2.58,44.67,46.41,0,531
"VF052022_SR","1",Chamber 3,"","","tone 02",9,14.767,3.42,59.07,22.38,0,263
"VF052022_SR","1",Chamber 3,"","","tone 03",3,5.433,1.26,21.73,81.29,0,539
"VF052022_SR","1",Chamber 3,"","","tone 04",3,3.800,0.88,15.20,117.06,0,665
"VF052022_SR","1",Chamber 3,"","","post-tone",11,16.567,3.83,13.81,116.42,0,1213

"VF052022_SR","1",Chamber 4,"","","pre-tone",0,0.000,0.00,0.00,67.94,0,995
"VF052022_SR","1",Chamber 4,"","","tone 01",6,10.700,2.48,42.80,11.01,0,315
"VF052022_SR","1",Chamber 4,"","","tone 02",5,8.533,1.98,34.13,36.63,0,409
"VF052022_SR","1",Chamber 4,"","","tone 03",1,2.600,0.60,10.40,157.11,0,926
"VF052022_SR","1",Chamber 4,"","","tone 04",4,6.667,1.54,26.67,29.80,0,409
"VF052022_SR","1",Chamber 4,"","","post-tone",9,11.933,2.76,9.94,125.44,0,1578

"VF052022_SR","2",Chamber 1,"","","pre-tone",12,16.500,3.82,13.75,78.81,0,816
"VF052022_SR","2",Chamber 1,"","","tone 01",5,15.167,3.51,60.67,23.91,0,415
"VF052022_SR","2",Chamber 1,"","","tone 02",4,15.900,3.68,63.60,66.73,0,1382
"VF052022_SR","2",Chamber 1,"","","tone 03",4,11.033,2.55,44.13,38.36,0,647
"VF052022_SR","2",Chamber 1,"","","tone 04",4,8.267,1.91,33.07,90.19,0,884
"VF052022_SR","2",Chamber 1,"","","post-tone",13,16.433,3.80,13.69,117.83,0,1217

"VF052022_SR","2",Chamber 2,"","","pre-tone",15,17.733,4.10,14.78,108.77,0,1438
"VF052022_SR","2",Chamber 2,"","","tone 01",5,12.600,2.92,50.40,25.69,0,368
"VF052022_SR","2",Chamber 2,"","","tone 02",4,19.833,4.59,79.33,6.75,0,208
"VF052022_SR","2",Chamber 2,"","","tone 03",3,19.067,4.41,76.27,17.78,0,243
"VF052022_SR","2",Chamber 2,"","","tone 04",5,21.400,4.95,85.60,6.25,0,116
"VF052022_SR","2",Chamber 2,"","","post-tone",6,9.100,2.11,7.58,252.02,0,1579

"VF052022_SR","2",Chamber 3,"","","pre-tone",28,43.167,9.99,35.97,19.27,0,474
"VF052022_SR","2",Chamber 3,"","","tone 01",7,19.467,4.51,77.87,5.04,0,183
"VF052022_SR","2",Chamber 3,"","","tone 02",4,14.933,3.46,59.73,39.72,0,601
"VF052022_SR","2",Chamber 3,"","","tone 03",6,18.767,4.34,75.07,17.26,0,355
"VF052022_SR","2",Chamber 3,"","","tone 04",7,19.433,4.50,77.73,8.26,0,164
"VF052022_SR","2",Chamber 3,"","","post-tone",17,26.667,6.17,22.22,116.81,0,1099

"VF052022_SR","2",Chamber 4,"","","pre-tone",6,9.267,2.15,7.72,124.62,0,1767
"VF052022_SR","2",Chamber 4,"","","tone 01",6,10.633,2.46,42.53,28.90,0,414
"VF052022_SR","2",Chamber 4,"","","tone 02",4,4.467,1.03,17.87,90.28,0,1130
"VF052022_SR","2",Chamber 4,"","","tone 03",6,10.533,2.44,42.13,36.29,0,332
"VF052022_SR","2",Chamber 4,"","","tone 04",5,9.400,2.18,37.60,73.65,0,702
"VF052022_SR","2",Chamber 4,"","","post-tone",6,7.633,1.77,6.36,276.62,0,1684

"VF052022_SR","3",Chamber 1,"","","pre-tone",8,9.600,2.22,8.00,57.62,0,1000
"VF052022_SR","3",Chamber 1,"","","tone 01",5,8.900,2.06,35.60,33.38,0,462
"VF052022_SR","3",Chamber 1,"","","tone 02",8,9.500,2.20,38.00,18.75,0,376
"VF052022_SR","3",Chamber 1,"","","tone 03",8,16.167,3.74,64.67,6.78,0,137
"VF052022_SR","3",Chamber 1,"","","tone 04",8,15.833,3.67,63.33,7.05,0,184
"VF052022_SR","3",Chamber 1,"","","post-tone",9,13.433,3.11,11.19,177.29,0,1133

"VF052022_SR","3",Chamber 2,"","","pre-tone",1,1.000,0.23,0.83,138.81,0,1158
"VF052022_SR","3",Chamber 2,"","","tone 01",3,4.267,0.99,17.07,72.02,0,975
"VF052022_SR","3",Chamber 2,"","","tone 02",3,5.233,1.21,20.93,17.70,0,234
"VF052022_SR","3",Chamber 2,"","","tone 03",1,1.400,0.32,5.60,45.54,0,740
"VF052022_SR","3",Chamber 2,"","","tone 04",2,2.067,0.48,8.27,116.12,0,965
"VF052022_SR","3",Chamber 2,"","","post-tone",4,5.600,1.30,4.67,269.93,0,1716

"VF052022_SR","3",Chamber 3,"","","pre-tone",21,33.867,7.84,28.22,18.26,0,371
"VF052022_SR","3",Chamber 3,"","","tone 01",9,13.833,3.20,55.33,15.58,0,409
"VF052022_SR","3",Chamber 3,"","","tone 02",4,4.600,1.06,18.40,20.67,0,222
"VF052022_SR","3",Chamber 3,"","","tone 03",2,3.633,0.84,14.53,26.05,0,282
"VF052022_SR","3",Chamber 3,"","","tone 04",2,5.100,1.18,20.40,83.78,0,432
"VF052022_SR","3",Chamber 3,"","","post-tone",2,2.667,0.62,2.22,158.26,0,1332

"VF052022_SR","3",Chamber 4,"","","pre-tone",18,22.700,5.25,18.92,67.12,0,830
"VF052022_SR","3",Chamber 4,"","","tone 01",7,14.767,3.42,59.07,41.95,0,903
"VF052022_SR","3",Chamber 4,"","","tone 02",8,15.233,3.53,60.93,16.59,0,257
"VF052022_SR","3",Chamber 4,"","","tone 03",8,14.667,3.40,58.67,15.86,0,189
"VF052022_SR","3",Chamber 4,"","","tone 04",1,1.367,0.32,5.47,50.81,0,331
"VF052022_SR","3",Chamber 4,"","","post-tone",4,4.767,1.10,3.97,220.05,0,1549

"VF052022_SR","4",Chamber 1,"","","pre-tone",24,29.433,6.81,24.53,18.01,0,449
"VF052022_SR","4",Chamber 1,"","","tone 01",7,18.233,4.22,72.93,2.60,0,73
"VF052022_SR","4",Chamber 1,"","","tone 02",7,13.233,3.06,52.93,10.06,0,250
"VF052022_SR","4",Chamber 1,"","","tone 03",10,13.967,3.23,55.87,6.95,0,85
"VF052022_SR","4",Chamber 1,"","","tone 04",5,6.033,1.40,24.13,20.70,0,374
"VF052022_SR","4",Chamber 1,"","","post-tone",4,5.233,1.21,4.36,152.30,0,1100

"VF052022_SR","4",Chamber 2,"","","pre-tone",21,28.167,6.52,23.47,18.28,0,325
"VF052022_SR","4",Chamber 2,"","","tone 01",3,21.733,5.03,86.93,2.39,0,132
"VF052022_SR","4",Chamber 2,"","","tone 02",5,15.800,3.66,63.20,7.15,0,406
"VF052022_SR","4",Chamber 2,"","","tone 03",6,21.267,4.92,85.07,5.97,0,130
"VF052022_SR","4",Chamber 2,"","","tone 04",4,23.033,5.33,92.13,2.95,0,112
"VF052022_SR","4",Chamber 2,"","","post-tone",28,42.100,9.75,35.08,82.38,0,861

"VF052022_SR","4",Chamber 3,"","","pre-tone",19,72.100,16.69,60.08,30.98,0,663
"VF052022_SR","4",Chamber 3,"","","tone 01",3,8.733,2.02,34.93,47.70,0,983
"VF052022_SR","4",Chamber 3,"","","tone 02",6,11.367,2.63,45.47,19.41,0,236
"VF052022_SR","4",Chamber 3,"","","tone 03",8,12.433,2.88,49.73,14.31,0,243
"VF052022_SR","4",Chamber 3,"","","tone 04",2,3.200,0.74,12.80,73.40,0,550
"VF052022_SR","4",Chamber 3,"","","post-tone",10,11.933,2.76,9.94,185.36,0,1810

"VF052022_SR","4",Chamber 4,"","","pre-tone",14,18.100,4.19,15.08,69.89,0,1233
"VF052022_SR","4",Chamber 4,"","","tone 01",12,18.633,4.31,74.53,3.78,0,155
"VF052022_SR","4",Chamber 4,"","","tone 02",3,6.733,1.56,26.93,84.66,0,701
"VF052022_SR","4",Chamber 4,"","","tone 03",9,13.267,3.07,53.07,17.15,0,184
"VF052022_SR","4",Chamber 4,"","","tone 04",2,2.733,0.63,10.93,181.60,0,1583
"VF052022_SR","4",Chamber 4,"","","post-tone",16,21.967,5.08,18.31,196.65,0,1749

