Date :,05/17/22 14:49:39,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:13.000,10,3990,300,,,,,,,,
tone 02, 0:02:33.000,10,4590,300,,,,,,,,
tone 03, 0:02:48.000,10,5040,300,,,,,,,,
tone 04, 0:03:10.000,10,5700,300,,,,,,,,
tone 05, 0:03:41.000,10,6630,300,,,,,,,,
tone 06, 0:04:14.000,10,7620,300,,,,,,,,
tone 07, 0:04:39.000,10,8370,300,,,,,,,,
tone 08, 0:04:58.000,10,8940,300,,,,,,,,
tone 09, 0:05:27.000,10,9810,300,,,,,,,,
tone 10, 0:05:43.000,10,10290,300,,,,,,,,
tone 11, 0:06:00.000,10,10800,300,,,,,,,,
tone 12, 0:06:23.000,10,11490,300,,,,,,,,
post-tone, 0:06:33.000,120,11790,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,pre-tone,2,2.233,0.44,1.86,107.71,0,768
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 01,1,1.533,0.3,15.33,91.58,0,892
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 02,0,0,0,0,93.82,0,433
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 03,0,0,0,0,78.6,0,779
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 04,1,1.1,0.21,11,15.82,0,231
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 05,3,5.767,1.12,57.67,8.76,0,286
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 06,3,6.233,1.22,62.33,12.44,0,335
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 07,0,0,0,0,113.69,0,762
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 08,2,4.367,0.85,43.67,170.25,0,2670
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 09,1,2.533,0.49,25.33,181.46,0,2435
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 10,1,9.467,1.85,94.67,0.81,0,36
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 11,1,2.5,0.49,25,164.56,0,4713
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 12,1,10,1.95,100,0.29,0,3
VF051722_FC2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,post-tone,24,75.2,14.66,62.67,18.57,0,470
,,,,,,,,,,,,
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,pre-tone,4,5.433,1.06,4.53,105.31,0,978
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 01,0,0,0,0,358.27,0,1334
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 02,0,0,0,0,52.1,0,584
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 03,1,1.567,0.31,15.67,34.57,0,448
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 04,1,1.6,0.31,16,129.86,0,1222
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 05,1,2.467,0.48,24.67,36.1,0,457
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 06,2,4.267,0.83,42.67,27.43,0,473
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 07,0,0,0,0,60.46,0,489
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 08,1,6.3,1.23,63,19.58,0,403
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 09,0,0,0,0,146.41,0,975
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 10,0,0,0,0,46.53,0,398
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 11,3,7.233,1.41,72.33,9.7,0,354
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 12,2,5.133,1,51.33,11.01,0,241
VF051722_FC2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,post-tone,11,93.233,18.17,77.69,4.97,0,148
,,,,,,,,,,,,
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,pre-tone,9,14.067,2.74,11.72,52.04,0,678
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 01,2,3.4,0.66,34,31.25,0,315
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 02,1,2,0.39,20,86.33,0,688
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 03,0,0,0,0,212.19,0,709
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 04,3,5.833,1.14,58.33,11.29,0,140
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 05,1,9.367,1.83,93.67,2.31,0,57
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 06,3,8.033,1.57,80.33,7.76,0,111
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 07,0,0,0,0,92.73,0,392
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 08,2,6.2,1.21,62,6.92,0,222
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 09,2,5.367,1.05,53.67,19.49,0,342
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 10,4,5,0.97,50,14.41,0,215
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 11,1,10,1.95,100,0.14,0,16
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 12,1,7.267,1.42,72.67,9.66,0,289
VF051722_FC2,1,Chamber 3,B6-F-68-R1,12-050-10-SC,post-tone,10,68.5,13.35,57.08,16.81,0,269
,,,,,,,,,,,,
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,pre-tone,24,47.467,9.25,39.56,15.31,0,305
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 01,2,3.2,0.62,32,26.69,0,258
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 02,1,6.733,1.31,67.33,45.23,0,565
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 03,2,4.367,0.85,43.67,53.81,0,564
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 04,1,3.967,0.77,39.67,11.25,0,190
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 05,0,0,0,0,76.73,0,535
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 06,2,3.667,0.71,36.67,38.6,0,181
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 07,2,5.633,1.1,56.33,14.25,0,121
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 08,2,3.667,0.71,36.67,14.27,0,146
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 09,2,5.767,1.12,57.67,18.41,0,347
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 10,1,7.9,1.54,79,31.44,0,613
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 11,1,1.067,0.21,10.67,68.91,0,623
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 12,1,3.9,0.76,39,34.67,0,318
VF051722_FC2,1,Chamber 4,B6-F-68-R2,12-050-10-SC,post-tone,16,39.133,7.63,32.61,41.19,0,675
,,,,,,,,,,,,
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,pre-tone,38,63.067,12.29,52.56,13.22,0,360
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 01,2,8.5,1.66,85,6.75,0,325
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 02,0,0,0,0,11.01,0,163
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 03,1,1.6,0.31,16,6.61,0,101
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 04,1,8.633,1.68,86.33,5.23,0,191
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 05,2,9.367,1.83,93.67,4.76,0,188
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 06,1,10,1.95,100,0.06,0,5
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 07,0,0,0,0,13.76,0,103
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 08,0,0,0,0,10.13,0,76
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 09,1,1.267,0.25,12.67,6.77,0,63
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 10,1,6.467,1.26,64.67,5.24,0,121
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 11,1,7.1,1.38,71,7.16,0,107
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 12,2,4.1,0.8,41,3.98,0,50
VF051722_FC2,2,Chamber 1,B6-M-81-L1,12-050-10-SC,post-tone,20,87.033,16.97,72.53,4.7,0,391
,,,,,,,,,,,,
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,pre-tone,4,5.933,1.16,4.94,118.92,0,903
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,tone 01,3,5.2,1.01,52,24.06,0,357
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,tone 02,1,5.433,1.06,54.33,8.83,0,154
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,tone 03,1,3.133,0.61,31.33,23.76,0,256
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,tone 04,2,7.7,1.5,77,3.64,0,110
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,tone 05,2,7.933,1.55,79.33,3.35,0,63
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,tone 06,3,9.067,1.77,90.67,2.12,0,47
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,tone 07,0,0,0,0,298.42,28,851
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,tone 08,3,5.667,1.1,56.67,15.89,0,339
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,tone 09,2,5.9,1.15,59,19.32,0,202
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,tone 10,3,4.167,0.81,41.67,7.59,0,75
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,tone 11,1,4.033,0.79,40.33,119.6,0,877
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,tone 12,0,0,0,0,225.91,0,907
VF051722_FC2,2,Chamber 2,B6-M-81-L2,12-050-10-SC,post-tone,10,31.1,6.06,25.92,66.4,0,622
,,,,,,,,,,,,
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,pre-tone,17,39.4,7.68,32.83,29.83,0,341
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,tone 01,0,0,0,0,87.15,0,503
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,tone 02,1,1.6,0.31,16,13.54,0,110
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,tone 03,1,6.3,1.23,63,5.42,0,141
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,tone 04,2,2.233,0.44,22.33,28.79,0,372
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,tone 05,1,9.133,1.78,91.33,2.12,0,111
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,tone 06,1,1.067,0.21,10.67,80.34,0,381
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,tone 07,1,10,1.95,100,0.13,0,15
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,tone 08,0,0,0,0,21.63,0,159
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,tone 09,1,1.867,0.36,18.67,23.73,0,175
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,tone 10,1,9.267,1.81,92.67,3.25,0,154
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,tone 11,1,9.533,1.86,95.33,0.61,0,20
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,tone 12,1,9.8,1.91,98,0.4,0,31
VF051722_FC2,2,Chamber 3,B6-M-81-R1,12-050-10-SC,post-tone,7,118.9,23.18,99.08,0.35,0,116
,,,,,,,,,,,,
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,pre-tone,2,2.1,0.41,1.75,151.8,0,852
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,tone 01,1,1.867,0.36,18.67,117.12,0,573
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,tone 02,2,4.167,0.81,41.67,53.11,0,290
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,tone 03,2,3.233,0.63,32.33,65.46,0,400
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,tone 04,2,8.6,1.68,86,7.18,0,267
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,tone 05,2,2.733,0.53,27.33,68.4,0,474
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,tone 06,2,2.233,0.44,22.33,14.96,0,192
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,tone 07,1,2.633,0.51,26.33,56.54,0,435
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,tone 08,2,6.3,1.23,63,9.15,0,238
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,tone 09,2,7.767,1.51,77.67,13.74,0,329
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,tone 10,2,9.667,1.88,96.67,0.79,0,62
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,tone 11,1,10,1.95,100,0,0,0
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,tone 12,4,8.467,1.65,84.67,8.6,0,246
VF051722_FC2,2,Chamber 4,B6-M-81-R2,12-050-10-SC,post-tone,19,57.767,11.26,48.14,29.26,0,329