Date :,12/19/22 13:23,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:03:15.000,25,5850,750,,,,,,,,
tone 03, 0:04:02.000,25,7260,750,,,,,,,,
tone 04, 0:04:47.000,25,8610,750,,,,,,,,
post-tone, 0:05:12.000,120,9360,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF111122_ER,1,Chamber 1,B6-F-110-L1,06-50-25-SC,pre-tone,26,60.133,13.92,50.11,21.35,0,434
VF111122_ER,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 01,3,20.6,4.77,82.4,2.42,0,74
VF111122_ER,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 02,5,18.367,4.25,73.47,15.23,0,451
VF111122_ER,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 03,2,11.067,2.56,44.27,30.63,0,297
VF111122_ER,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 04,5,11.467,2.65,45.87,33.18,0,280
VF111122_ER,1,Chamber 1,B6-F-110-L1,06-50-25-SC,post-tone,18,39.933,9.24,33.28,47.07,0,1032
,,,,,,,,,,,,
VF111122_ER,1,Chamber 2,B6-F-110-L2,06-50-25-SC,pre-tone,16,97.8,22.64,81.5,3.65,0,105
VF111122_ER,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 01,5,22.733,5.26,90.93,2,0,47
VF111122_ER,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 02,1,25,5.79,100,0.54,0,14
VF111122_ER,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 03,4,24.9,5.76,99.6,0.75,0,20
VF111122_ER,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 04,3,12,2.78,48,6.77,0,86
VF111122_ER,1,Chamber 2,B6-F-110-L2,06-50-25-SC,post-tone,14,27.567,6.38,22.97,46.1,0,539
,,,,,,,,,,,,
VF111122_ER,1,Chamber 3,B6-F-110-R1,06-50-25-SC,pre-tone,8,10.767,2.49,8.97,96.54,0,924
VF111122_ER,1,Chamber 3,B6-F-110-R1,06-50-25-SC,tone 01,4,16.3,3.77,65.2,27.49,0,634
VF111122_ER,1,Chamber 3,B6-F-110-R1,06-50-25-SC,tone 02,10,15.6,3.61,62.4,17.83,0,202
VF111122_ER,1,Chamber 3,B6-F-110-R1,06-50-25-SC,tone 03,4,7.467,1.73,29.87,59.91,0,529
VF111122_ER,1,Chamber 3,B6-F-110-R1,06-50-25-SC,tone 04,4,12.867,2.98,51.47,20.99,0,327
VF111122_ER,1,Chamber 3,B6-F-110-R1,06-50-25-SC,post-tone,12,16.133,3.73,13.44,71.54,0,622
,,,,,,,,,,,,
VF111122_ER,1,Chamber 4,B6-F-110-R2,06-50-25-SC,pre-tone,17,32,7.41,26.67,33.89,0,558
VF111122_ER,1,Chamber 4,B6-F-110-R2,06-50-25-SC,tone 01,4,21.867,5.06,87.47,5.3,0,158
VF111122_ER,1,Chamber 4,B6-F-110-R2,06-50-25-SC,tone 02,3,17.9,4.14,71.6,6.12,0,128
VF111122_ER,1,Chamber 4,B6-F-110-R2,06-50-25-SC,tone 03,4,13.033,3.02,52.13,19.19,0,250
VF111122_ER,1,Chamber 4,B6-F-110-R2,06-50-25-SC,tone 04,2,24.1,5.58,96.4,0.93,0,75
VF111122_ER,1,Chamber 4,B6-F-110-R2,06-50-25-SC,post-tone,20,48.267,11.17,40.22,17.93,0,233
,,,,,,,,,,,,
VF111122_ER,2,Chamber 1,B6-M-111-L1,06-50-25-SC,pre-tone,13,17.933,4.15,14.94,85.69,0,936
VF111122_ER,2,Chamber 1,B6-M-111-L1,06-50-25-SC,tone 01,8,11.433,2.65,45.73,31.6,0,352
VF111122_ER,2,Chamber 1,B6-M-111-L1,06-50-25-SC,tone 02,3,3.167,0.73,12.67,115.27,0,1120
VF111122_ER,2,Chamber 1,B6-M-111-L1,06-50-25-SC,tone 03,4,15.9,3.68,63.6,19.78,0,240
VF111122_ER,2,Chamber 1,B6-M-111-L1,06-50-25-SC,tone 04,6,13.133,3.04,52.53,33.78,0,481
VF111122_ER,2,Chamber 1,B6-M-111-L1,06-50-25-SC,post-tone,11,19.567,4.53,16.31,97.89,0,1100
,,,,,,,,,,,,
VF111122_ER,2,Chamber 2,B6-M-111-L2,06-50-25-SC,pre-tone,13,18.267,4.23,15.22,50.44,0,829
VF111122_ER,2,Chamber 2,B6-M-111-L2,06-50-25-SC,tone 01,6,16.733,3.87,66.93,20.85,0,608
VF111122_ER,2,Chamber 2,B6-M-111-L2,06-50-25-SC,tone 02,1,1.033,0.24,4.13,140.08,0,823
VF111122_ER,2,Chamber 2,B6-M-111-L2,06-50-25-SC,tone 03,6,19.233,4.45,76.93,3.68,0,133
VF111122_ER,2,Chamber 2,B6-M-111-L2,06-50-25-SC,tone 04,3,3.867,0.9,15.47,77.54,0,927
VF111122_ER,2,Chamber 2,B6-M-111-L2,06-50-25-SC,post-tone,24,49.467,11.45,41.22,44.98,0,711
,,,,,,,,,,,,
VF111122_ER,2,Chamber 3,B6-M-111-R1,06-50-25-SC,pre-tone,12,16.733,3.87,13.94,55.51,0,774
VF111122_ER,2,Chamber 3,B6-M-111-R1,06-50-25-SC,tone 01,4,18.767,4.34,75.07,10.56,0,241
VF111122_ER,2,Chamber 3,B6-M-111-R1,06-50-25-SC,tone 02,5,12.767,2.96,51.07,19.5,0,508
VF111122_ER,2,Chamber 3,B6-M-111-R1,06-50-25-SC,tone 03,1,1.2,0.28,4.8,99.63,0,750
VF111122_ER,2,Chamber 3,B6-M-111-R1,06-50-25-SC,tone 04,2,3,0.69,12,77.3,0,664
VF111122_ER,2,Chamber 3,B6-M-111-R1,06-50-25-SC,post-tone,17,22.667,5.25,18.89,73.76,0,1343
,,,,,,,,,,,,
VF111122_ER,2,Chamber 4,B6-M-111-R2,06-50-25-SC,pre-tone,24,39.2,9.07,32.67,30.47,0,526
VF111122_ER,2,Chamber 4,B6-M-111-R2,06-50-25-SC,tone 01,6,13.133,3.04,52.53,25.47,0,367
VF111122_ER,2,Chamber 4,B6-M-111-R2,06-50-25-SC,tone 02,1,3.567,0.83,14.27,57.91,0,398
VF111122_ER,2,Chamber 4,B6-M-111-R2,06-50-25-SC,tone 03,6,20.3,4.7,81.2,8.93,0,221
VF111122_ER,2,Chamber 4,B6-M-111-R2,06-50-25-SC,tone 04,4,10.367,2.4,41.47,37.05,0,390
VF111122_ER,2,Chamber 4,B6-M-111-R2,06-50-25-SC,post-tone,21,43.4,10.05,36.17,30.4,0,503